x,y
12.8,58.9
12.8,58.0
12.8,56.5
12.9,55.3
12.9,54.5
12.9,54.0
12.9,53.8
12.9,53.7
12.9,54.0
12.9,54.9
13.0,56.0
13.0,57.3
17.6,82.6
17.5,82.4
17.2,82.0
16.9,82.1
16.4,81.9
16.3,81.6
16.1,81.3
16.0,89.0
15.9,88.0
15.8,81.0
15.6,81.0
15.6,79.4
15.7,79.5
15.7,79.4
15.7,79.1
14.0,74.7
13.8,74.6
13.7,74.5
13.6,74.5
13.5,74.5
13.4,71.8
13.3,72.3
13.2,73.7
13.1,73.8
12.9,74.2
12.8,69.1
12.7,73.9
12.7,71.4
12.7,71.2
12.7,71.3
12.5,76.0
12.3,73.0
12.1,70.0
11.9,69.8
11.7,69.5
11.5,69.3
11.3,68.9
11.4,58.4
11.4,57.6
11.3,56.5
11.2,55.0
11.0,53.6
10.8,52.6
10.6,51.4
10.5,50.0
9.9,47.8
9.7,46.0
9.4,45.6
9.1,45.9
9.2,46.4
9.3,47.1
9.4,48.4
15.8,82.3
15.8,81.9
15.8,81.7
16.0,81.7
11.5,73.8
11.4,73.7
11.0,73.5
10.6,73.2
10.3,73.0
10.2,72.8
10.1,72.7
10.0,72.6
11.3,69.6
11.2,69.3
11.1,68.8
11.1,68.1
11.1,67.3
11.1,66.7
10.8,66.4
10.9,66.1
10.7,65.9
10.6,65.5
10.5,65.9
10.1,65.2
9.8,64.3
13.6,74.6
13.6,74.5
13.7,74.3
13.3,74.1
13.1,73.9
13.0,73.7
12.9,73.5
12.3,73.3
12.4,73.0
12.0,72.5
11.9,71.6
11.8,71.7
11.5,71.4
11.2,71.2
10.9,71.1
12.5,68.0
12.5,67.7
12.5,67.4
12.5,67.2
12.4,66.9
12.1,66.6
11.7,66.2
12.0,59.7
12.0,59.4
12.0,58.9
11.5,58.3
11.0,57.4
10.6,56.7
10.1,56.2
14.3,73.3
14.3,73.2
14.4,73.0
14.4,72.9
14.4,72.8
14.5,72.5
14.5,72.6
14.5,72.5
14.6,72.4
14.6,72.3
14.6,72.2
13.7,72.0
13.5,71.9
13.2,71.8
13.7,71.6
12.7,71.1
12.7,71.0
12.6,78.0
12.6,76.0
12.5,74.0
12.5,71.0
12.4,69.9
12.4,69.7
12.3,69.6
12.3,69.5
12.2,69.4
12.0,69.3
11.9,69.2
14.7,75.1
14.7,74.9
14.6,74.9
14.5,74.8
14.4,74.8
14.4,74.7
14.3,74.7
14.3,74.6
14.2,74.4
13.9,74.2
13.6,74.0
13.5,73.7
13.3,73.5
13.1,73.2
12.8,72.9
14.5,75.5
14.4,75.2
14.3,74.8
13.8,74.5
13.0,74.2
12.5,73.9
12.5,73.5
12.3,73.2
11.9,72.8
11.9,72.4
12.0,72.0
11.9,71.6
11.5,71.2
11.1,78.0
10.7,74.0
10.8,66.0
10.7,65.4
10.7,65.6
10.6,65.6
10.6,65.8
10.5,65.6
10.5,64.5
10.4,64.1
10.4,63.7
10.3,63.3
10.3,63.5
